codigo_efisco|codigo_catmat|rank|score_final|confianca|score_ontologia|deducao_ontologia|score_neural|score_neural_base|score_fusao|score_cosine|score_cross|score_sinais|bonus_medidas|bonus_graphrag_idf|bonus_taxonomia|score_graphrag|graphrag_justificativa|trilha
100292-9|438058|1|0.6865|Baixa|0.3|incompleto|0.6964249658172503|0.6613142490386963|0.6613142490386963|0.8782287836074829|0.6613142490386963|0.7022143355710804|0.0|0.46187223030792246|0.8011403508771929|0.6467824692355253|Todos os candidatos estão claramente fora da especificação do item e-Fisco, apresentando divergências significativas em tamanho e uso.|"score_final=0.686 -> Baixa (rank 1; margem 1o-2o da consulta 0.003)
  Ontologia (0.300 x 0.0; bonus [5b] 0.0): incompleto
    Reasoner não fechou equivalência e não há conflito de característica definidora (atributos ausentes).
  Neural    (0.696 x 0.8): fusao=0.661, cosine_e5=0.878, cross=0.661
    sinais (+0.05 x 0.702): medidas=0.00, graphrag_idf=0.46, taxonomia=0.80
  GraphRAG  (0.647 x 0.2): Todos os candidatos estão claramente fora da especificação do item e-Fisco, apresentando divergências significativas em tamanho e uso."
100292-9|438057|2|0.6831|Baixa|0.3|incompleto|0.6929894733016864|0.6578787565231323|0.6578787565231323|0.8730552196502686|0.6578787565231323|0.7022143355710804|0.0|0.46187223030792246|0.8011403508771929|0.6436905259715178|Todos os candidatos estão claramente fora da especificação do item e-Fisco, apresentando divergências significativas em tamanho e uso.|"score_final=0.683 -> Baixa (rank 2; margem 1o-2o da consulta 0.003)
  Ontologia (0.300 x 0.0; bonus [5b] 0.0): incompleto
    Reasoner não fechou equivalência e não há conflito de característica definidora (atributos ausentes).
  Neural    (0.693 x 0.8): fusao=0.658, cosine_e5=0.873, cross=0.658
    sinais (+0.05 x 0.702): medidas=0.00, graphrag_idf=0.46, taxonomia=0.80
  GraphRAG  (0.644 x 0.2): Todos os candidatos estão claramente fora da especificação do item e-Fisco, apresentando divergências significativas em tamanho e uso."
100292-9|454803|3|0.6658|Baixa|0.3|incompleto|0.675341263681808|0.654550313949585|0.654550313949585|0.8812057375907898|0.654550313949585|0.4158189946444615|0.0|0.17547688938130365|0.8011403508771929|0.6278071373136273|Todos os candidatos estão claramente fora da especificação do item e-Fisco, apresentando divergências significativas em tamanho e uso.|"score_final=0.666 -> Baixa (rank 3; margem 1o-2o da consulta 0.003)
  Ontologia (0.300 x 0.0; bonus [5b] 0.0): incompleto
    Reasoner não fechou equivalência e não há conflito de característica definidora (atributos ausentes).
  Neural    (0.675 x 0.8): fusao=0.655, cosine_e5=0.881, cross=0.655
    sinais (+0.05 x 0.416): medidas=0.00, graphrag_idf=0.18, taxonomia=0.80
  GraphRAG  (0.628 x 0.2): Todos os candidatos estão claramente fora da especificação do item e-Fisco, apresentando divergências significativas em tamanho e uso."
100292-9|615392|4|0.6589|Baixa|0.3|incompleto|0.6702775944408618|0.6663104891777039|0.6663104891777039|0.8619760274887085|0.6663104891777039|0.0793421052631579|0.0|0.0|0.2644736842105263|0.6132498349967757|Todos os candidatos estão claramente fora da especificação do item e-Fisco, apresentando divergências significativas em tamanho e uso.|"score_final=0.659 -> Baixa (rank 4; margem 1o-2o da consulta 0.003)
  Ontologia (0.300 x 0.0; bonus [5b] 0.0): incompleto
    Reasoner não fechou equivalência e não há conflito de característica definidora (atributos ausentes).
  Neural    (0.670 x 0.8): fusao=0.666, cosine_e5=0.862, cross=0.666
    sinais (+0.05 x 0.079): medidas=0.00, graphrag_idf=0.00, taxonomia=0.26
  GraphRAG  (0.613 x 0.2): Todos os candidatos estão claramente fora da especificação do item e-Fisco, apresentando divergências significativas em tamanho e uso."
100292-9|615383|5|0.6583|Baixa|0.3|incompleto|0.6697056282695971|0.6657385230064392|0.6657385230064392|0.8640961647033691|0.6657385230064392|0.0793421052631579|0.0|0.0|0.2644736842105263|0.6127350654426374|Todos os candidatos estão claramente fora da especificação do item e-Fisco, apresentando divergências significativas em tamanho e uso.|"score_final=0.658 -> Baixa (rank 5; margem 1o-2o da consulta 0.003)
  Ontologia (0.300 x 0.0; bonus [5b] 0.0): incompleto
    Reasoner não fechou equivalência e não há conflito de característica definidora (atributos ausentes).
  Neural    (0.670 x 0.8): fusao=0.666, cosine_e5=0.864, cross=0.666
    sinais (+0.05 x 0.079): medidas=0.00, graphrag_idf=0.00, taxonomia=0.26
  GraphRAG  (0.613 x 0.2): Todos os candidatos estão claramente fora da especificação do item e-Fisco, apresentando divergências significativas em tamanho e uso."
100292-9|363828|6|0.6302|Baixa|0.3|incompleto|0.6302205135707802|0.6214466691017151|0.6214466691017151|0.8430503606796265|0.6214466691017151|0.17547688938130365|0.0|0.17547688938130365|0.0|0.6302205135707802||"score_final=0.630 -> Baixa (rank 6; margem 1o-2o da consulta 0.003)
  Ontologia (0.300 x 0.0; bonus [5b] 0.0): incompleto
    Reasoner não fechou equivalência e não há conflito de característica definidora (atributos ausentes).
  Neural    (0.630 x 0.8): fusao=0.621, cosine_e5=0.843, cross=0.621
    sinais (+0.05 x 0.175): medidas=0.00, graphrag_idf=0.18, taxonomia=0.00
  GraphRAG  (0.630 x 0.2)"
100292-9|407666|7|0.6235|Baixa|0.3|incompleto|0.6235230309185229|0.611505925655365|0.611505925655365|0.836685061454773|0.611505925655365|0.24034210526315786|0.0|0.0|0.8011403508771929|0.6235230309185229||"score_final=0.624 -> Baixa (rank 7; margem 1o-2o da consulta 0.003)
  Ontologia (0.300 x 0.0; bonus [5b] 0.0): incompleto
    Reasoner não fechou equivalência e não há conflito de característica definidora (atributos ausentes).
  Neural    (0.624 x 0.8): fusao=0.612, cosine_e5=0.837, cross=0.612
    sinais (+0.05 x 0.240): medidas=0.00, graphrag_idf=0.00, taxonomia=0.80
  GraphRAG  (0.624 x 0.2)"
100292-9|429779|8|0.6232|Baixa|0.3|incompleto|0.6232184579257912|0.6144446134567261|0.6144446134567261|0.8436329364776611|0.6144446134567261|0.17547688938130365|0.0|0.17547688938130365|0.0|0.6232184579257912||"score_final=0.623 -> Baixa (rank 8; margem 1o-2o da consulta 0.003)
  Ontologia (0.300 x 0.0; bonus [5b] 0.0): incompleto
    Reasoner não fechou equivalência e não há conflito de característica definidora (atributos ausentes).
  Neural    (0.623 x 0.8): fusao=0.614, cosine_e5=0.844, cross=0.614
    sinais (+0.05 x 0.175): medidas=0.00, graphrag_idf=0.18, taxonomia=0.00
  GraphRAG  (0.623 x 0.2)"
100292-9|461282|9|0.6214|Baixa|0.3|incompleto|0.6214341265377246|0.6094170212745667|0.6094170212745667|0.849047064781189|0.6094170212745667|0.24034210526315786|0.0|0.0|0.8011403508771929|0.6214341265377246||"score_final=0.621 -> Baixa (rank 9; margem 1o-2o da consulta 0.003)
  Ontologia (0.300 x 0.0; bonus [5b] 0.0): incompleto
    Reasoner não fechou equivalência e não há conflito de característica definidora (atributos ausentes).
  Neural    (0.621 x 0.8): fusao=0.609, cosine_e5=0.849, cross=0.609
    sinais (+0.05 x 0.240): medidas=0.00, graphrag_idf=0.00, taxonomia=0.80
  GraphRAG  (0.621 x 0.2)"
100292-9|612887|10|0.6213|Baixa|0.3|incompleto|0.6212888700184069|0.609271764755249|0.609271764755249|0.8289552927017212|0.609271764755249|0.24034210526315786|0.0|0.0|0.8011403508771929|0.6212888700184069||"score_final=0.621 -> Baixa (rank 10; margem 1o-2o da consulta 0.003)
  Ontologia (0.300 x 0.0; bonus [5b] 0.0): incompleto
    Reasoner não fechou equivalência e não há conflito de característica definidora (atributos ausentes).
  Neural    (0.621 x 0.8): fusao=0.609, cosine_e5=0.829, cross=0.609
    sinais (+0.05 x 0.240): medidas=0.00, graphrag_idf=0.00, taxonomia=0.80
  GraphRAG  (0.621 x 0.2)"
100292-9|435592|11|0.621|Baixa|0.3|incompleto|0.621017907303258|0.6090008020401001|0.6090008020401001|0.8398969173431396|0.6090008020401001|0.24034210526315786|0.0|0.0|0.8011403508771929|0.621017907303258||"score_final=0.621 -> Baixa (rank 11; margem 1o-2o da consulta 0.003)
  Ontologia (0.300 x 0.0; bonus [5b] 0.0): incompleto
    Reasoner não fechou equivalência e não há conflito de característica definidora (atributos ausentes).
  Neural    (0.621 x 0.8): fusao=0.609, cosine_e5=0.840, cross=0.609
    sinais (+0.05 x 0.240): medidas=0.00, graphrag_idf=0.00, taxonomia=0.80
  GraphRAG  (0.621 x 0.2)"
